,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
616,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1220,XSL Script Processing,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
617,veris,1.4.1,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1213.006,Databases,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
618,veris,1.4.1,attribute.confidentiality,attribute.confidentiality.data_disclosure,Confirmed or potential data disclosure,related-to,T1213,Data from Information Repositories,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
619,veris,1.4.1,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1213.001,Confluence,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
620,veris,1.4.1,attribute.confidentiality,attribute.confidentiality.data_disclosure,Confirmed or potential data disclosure,related-to,T1213.001,Confluence,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
621,veris,1.4.1,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1213.002,Sharepoint,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
622,veris,1.4.1,attribute.confidentiality,attribute.confidentiality.data_disclosure,Confirmed or potential data disclosure,related-to,T1213.002,Sharepoint,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
623,veris,1.4.1,attribute.confidentiality,attribute.confidentiality.data_disclosure,Confirmed or potential data disclosure,related-to,T1213.003,Code Repositories,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
624,veris,1.4.1,attribute.confidentiality,attribute.confidentiality.data_disclosure,Confirmed or potential data disclosure,related-to,T1213.004,Customer Relationship Management Software,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
625,veris,1.4.1,attribute.confidentiality,attribute.confidentiality.data_disclosure,Confirmed or potential data disclosure,related-to,T1213.005,Messaging Applications,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
626,veris,1.4.1,action.hacking,action.hacking.variety.Profile host,Enumerating the state of the current host,related-to,T1480,Execution Guardrails,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
627,veris,1.4.1,action.hacking,action.hacking.variety.Scan network,Enumerating the state of the network,related-to,T1480,Execution Guardrails,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
628,veris,1.4.1,action.hacking,action.hacking.variety.Profile host,Enumerating the state of the current host,related-to,T1480.001,Environmental Keying,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
629,veris,1.4.1,action.hacking,action.hacking.variety.Scan network,Enumerating the state of the network,related-to,T1480.001,Environmental Keying,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
630,veris,1.4.1,action.hacking,action.hacking.variety.Profile host,Enumerating the state of the current host,related-to,T1480.002,Mutual Exclusion,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
631,veris,1.4.1,action.hacking,action.hacking.variety.Disable controls,Disable or interfere with security controls,related-to,T1688,Safe Mode Boot,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
632,veris,1.4.1,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1496,Resource Hijacking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
633,veris,1.4.1,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1496.001,Compute Hijacking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
634,veris,1.4.1,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1496.002,Bandwidth Hijacking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
635,veris,1.4.1,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1496.003,SMS Pumping,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
636,veris,1.4.1,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),related-to,T1496.004,Cloud Service Hijacking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
637,veris,1.4.1,action.hacking,action.hacking.vector.Hypervisor,Hypervisor break-out attack,related-to,T1497,Virtualization/Sandbox Evasion,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
638,veris,1.4.1,action.hacking,action.hacking.vector.Inter-tenant,Penetration of another VM or web site on shared device or infrastructure,related-to,T1497,Virtualization/Sandbox Evasion,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
639,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1498,Network Denial of Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
